Country,Established,Immigrant,Count,Total_Number_Speakers
Somalia,13,1,14,9938659
South Africa,30,12,42,51004892
South Korea,4,1,5,48586000
South Sudan,69,0,69,4504650
Spain,17,17,34,52439510
Sri Lanka,7,5,12,19550320
Sudan,75,1,76,35091200
Suriname,21,6,27,562014
Sweden,15,22,37,10325090
Switzerland,13,20,33,8980230
Syria,17,7,24,18708430
São Tomé e Príncipe,5,3,8,204200
Tajikistan,13,20,33,7580210
Tanzania,125,1,126,51108150
Thailand,73,15,88,53357924
Togo,44,2,46,4889380
Tokelau,2,3,5,2421
Tonga,3,1,4,105800
Trinidad and Tobago,7,2,9,2628000
Tunisia,7,8,15,11582100
Turkey,39,15,54,90297204
Turkmenistan,6,25,31,5300460
Turks and Caicos Islands,2,2,4,29840
Tuvalu,3,0,3,10100
U.S. Virgin Islands,3,3,6,85850
Uganda,43,2,45,33862350
Ukraine,21,27,48,40599806
United Arab Emirates,10,17,27,9266400
United Kingdom,13,72,85,61546750
United States,219,116,335,326756719
Uruguay,5,9,14,3589050
Uzbekistan,11,26,37,30929000
Vanuatu,110,6,116,196298
Vatican State,2,0,2,330
Venezuela,42,6,48,31087151
Viet Nam,109,3,112,86884520
Wallis and Futuna,3,0,3,12960
Western Sahara,3,1,4,584000
Yemen,11,6,17,26810300
Zambia,46,9,55,11364870
Zimbabwe,22,2,24,11926440
